file,realtime,fixture
frames/frame-00177.png,38.08681,145
frames/frame-00178.png,38.19832,145
frames/frame-00179.png,38.31485,145
frames/frame-00180.png,38.42616,145
frames/frame-00181.png,38.54589,145
frames/frame-00182.png,38.65821,145
frames/frame-00183.png,38.77001,145
frames/frame-00184.png,38.88458,145
frames/frame-00185.png,39.00059,145
frames/frame-00186.png,39.11513,145
frames/frame-00187.png,39.22830,145
frames/frame-00188.png,39.34726,145
frames/frame-00189.png,39.46078,145
frames/frame-00190.png,39.58409,145
frames/frame-00191.png,39.70332,145
frames/frame-00192.png,39.81803,145
frames/frame-00193.png,39.93161,145
frames/frame-00194.png,40.04536,145
frames/frame-00195.png,40.16056,145
frames/frame-00196.png,40.27320,145
frames/frame-00197.png,40.38261,145
frames/frame-00198.png,40.49865,145
frames/frame-00199.png,40.61008,145
frames/frame-00200.png,40.72565,145
frames/frame-00201.png,40.85336,145
frames/frame-00202.png,43.97086,180
frames/frame-00203.png,44.06482,180
frames/frame-00204.png,44.17482,180
frames/frame-00205.png,44.33356,180
frames/frame-00206.png,44.48923,180
frames/frame-00207.png,44.62725,180
frames/frame-00208.png,44.75842,180
frames/frame-00209.png,44.88448,180
frames/frame-00210.png,45.01248,180
frames/frame-00211.png,45.13356,180
frames/frame-00212.png,45.25713,180
frames/frame-00213.png,45.38107,180
frames/frame-00214.png,45.50434,180
frames/frame-00215.png,45.62288,180
frames/frame-00216.png,45.73949,180
frames/frame-00217.png,45.85741,180
frames/frame-00218.png,45.97599,180
frames/frame-00219.png,46.09286,180
frames/frame-00220.png,46.20867,180
frames/frame-00221.png,46.32652,180
frames/frame-00222.png,46.44612,180
frames/frame-00223.png,46.56681,180
frames/frame-00224.png,46.68195,180
frames/frame-00225.png,46.79591,180
frames/frame-00226.png,46.91021,180
frames/frame-00227.png,47.02280,180
frames/frame-00228.png,47.14397,180
frames/frame-00229.png,47.25824,180
frames/frame-00230.png,47.37966,180
frames/frame-00231.png,47.49095,180
