strong,time,flash,exposure,sun
False,0.00000,0.00000,0.15000,0.72000
False,0.01765,0.43294,1.34059,0.72000
False,0.03309,0.57544,1.73247,0.72000
False,0.07049,0.89859,2.62111,0.72000
False,0.08794,0.98350,2.85462,0.72000
False,0.10564,0.99914,2.89763,0.72000
False,0.12172,0.94973,2.76177,0.72000
False,0.14024,0.83242,2.43915,0.72000
False,0.15585,0.70503,2.08883,0.72000
False,0.17396,0.55540,1.67734,0.72000
False,0.18961,0.44717,1.37973,0.72000
False,0.20737,0.36661,1.15817,0.72000
False,0.22328,0.34002,1.08504,0.72000
False,0.24331,0.36590,1.15623,0.72000
False,0.25955,0.42577,1.32088,0.72000
False,0.27693,0.51285,1.56034,0.72000
False,0.29266,0.59687,1.79139,0.72000
False,0.31080,0.68096,2.02263,0.72000
False,0.32668,0.72971,2.15671,0.72000
False,0.36770,0.70579,2.09094,0.72000
False,0.39863,0.56850,1.71337,0.72000
False,0.41370,0.48696,1.48915,0.72000
False,0.44253,0.34283,1.09277,0.72000
False,0.45784,0.28311,0.92856,0.72000
False,0.47623,0.23057,0.78406,0.72000
False,0.49239,0.20049,0.70135,0.72000
False,0.51036,0.18100,0.64774,0.72000
False,0.52613,0.17222,0.62361,0.72000
False,0.54435,0.16746,0.61051,0.72000
False,0.56065,0.16505,0.60389,0.72000
False,0.57881,0.16197,0.59542,0.72000
False,0.59465,0.15777,0.58387,0.72000
False,0.61388,0.15009,0.56273,0.72000
False,0.62967,0.14162,0.53944,0.72000
False,0.64715,0.13028,0.50826,0.72000
False,0.66270,0.11887,0.47689,0.72000
False,0.68060,0.10479,0.43817,0.72000
False,0.69669,0.09182,0.40250,0.72000
False,0.71546,0.07694,0.36159,0.72000
False,0.73141,0.06496,0.32863,0.72000
False,0.74960,0.05241,0.29412,0.72000
False,0.76546,0.04266,0.26731,0.72000
False,0.78377,0.03291,0.24052,0.72000
False,0.79953,0.02585,0.22108,0.72000
False,0.83518,0.01404,0.18861,0.72000
False,0.85245,0.01012,0.17783,0.72000
False,0.86831,0.00736,0.17024,0.72000
False,0.88593,0.00506,0.16392,0.72000
False,0.90171,0.00355,0.15977,0.72000
False,0.91977,0.00232,0.15638,0.72000
False,0.93543,0.00158,0.15433,0.72000
False,0.95377,0.00098,0.15269,0.72000
False,0.96949,0.00064,0.15176,0.72000
False,0.98741,0.00039,0.15106,0.72000
False,1.00361,0.00024,0.15066,0.72000
False,1.02224,0.00014,0.15037,0.72000
False,1.03791,0.00008,0.15023,0.72000
False,1.06929,0.00003,0.15008,0.72000
False,1.08595,0.00002,0.15004,0.72000
False,1.12716,0.00000,0.15001,0.72000
False,1.14224,0.00000,0.15001,0.72000
False,1.19780,0.00000,0.15000,0.72000
False,1.22707,0.00000,0.15000,0.72000
False,1.24218,0.00000,0.15000,0.72000
False,1.25989,0.00000,0.15000,0.72000
False,1.27568,0.00000,0.15000,0.72000
False,1.31595,0.00000,0.15000,0.72000
True,0.00000,0.00000,0.15000,0.72000
True,0.01552,0.41437,1.53814,0.72000
True,0.03376,0.58187,2.09925,0.72000
True,0.04959,0.73087,2.59840,0.72000
True,0.06702,0.87476,3.08046,0.72000
True,0.08575,0.97640,3.42094,0.72000
True,0.10186,1.00000,3.50000,0.72000
True,0.11973,0.95884,3.36211,0.72000
True,0.13588,0.86443,3.04584,0.72000
True,0.15374,0.72288,2.57165,0.72000
True,0.16968,0.58932,2.12424,0.72000
True,0.18712,0.46235,1.69888,0.72000
True,0.20312,0.38116,1.42689,0.72000
True,0.22126,0.34096,1.29222,0.72000
True,0.23700,0.35123,1.32661,0.72000
True,0.25549,0.40825,1.51764,0.72000
True,0.27136,0.48343,1.76950,0.72000
True,0.30100,0.63833,2.28839,0.72000
True,0.31614,0.70050,2.49667,0.72000
True,0.34739,0.74540,2.64711,0.72000
True,0.36417,0.71627,2.54951,0.72000
True,0.38214,0.65007,2.32773,0.72000
True,0.39781,0.57284,2.06901,0.72000
True,0.41617,0.47362,1.73662,0.72000
True,0.43206,0.39132,1.46092,0.72000
True,0.46980,0.24658,0.97605,0.72000
True,0.48530,0.21201,0.86023,0.72000
True,0.50353,0.18697,0.77634,0.72000
True,0.51921,0.17534,0.73740,0.72000
True,0.53649,0.16906,0.71635,0.72000
True,0.55240,0.16620,0.70678,0.72000
True,0.57022,0.16359,0.69804,0.72000
True,0.58571,0.16036,0.68720,0.72000
True,0.60332,0.15467,0.66814,0.72000
True,0.61891,0.14759,0.64443,0.72000
True,0.63697,0.13711,0.60932,0.72000
True,0.65261,0.12639,0.57341,0.72000
True,0.67061,0.11274,0.52766,0.72000
True,0.68625,0.10025,0.48583,0.72000
True,0.71733,0.07549,0.40291,0.72000
True,0.73317,0.06368,0.36333,0.72000
True,0.75177,0.05100,0.32086,0.72000
True,0.76790,0.04127,0.28824,0.72000
True,0.78582,0.03193,0.25695,0.72000
True,0.80176,0.02494,0.23356,0.72000
True,0.82027,0.01832,0.21136,0.72000
True,0.83641,0.01373,0.19599,0.72000
True,0.85387,0.00984,0.18297,0.72000
True,0.87015,0.00708,0.17373,0.72000
True,0.88926,0.00470,0.16576,0.72000
True,0.90484,0.00331,0.16107,0.72000
True,0.92242,0.00218,0.15729,0.72000
True,0.93804,0.00147,0.15494,0.72000
True,0.95564,0.00093,0.15312,0.72000
True,0.97155,0.00060,0.15202,0.72000
True,0.99015,0.00036,0.15119,0.72000
True,1.00597,0.00022,0.15075,0.72000
True,1.02369,0.00013,0.15043,0.72000
True,1.03954,0.00008,0.15026,0.72000
True,1.05777,0.00004,0.15014,0.72000
True,1.07373,0.00002,0.15008,0.72000
True,1.09280,0.00001,0.15004,0.72000
True,1.10842,0.00001,0.15002,0.72000
True,1.12567,0.00000,0.15001,0.72000
True,1.14147,0.00000,0.15001,0.72000
True,1.15941,0.00000,0.15000,0.72000
True,1.17483,0.00000,0.15000,0.72000
True,1.19317,0.00000,0.15000,0.72000
True,1.20915,0.00000,0.15000,0.72000
True,1.22668,0.00000,0.15000,0.72000
True,1.24274,0.00000,0.15000,0.72000
True,1.26042,0.00000,0.15000,0.72000
True,1.27606,0.00000,0.15000,0.72000
True,1.29416,0.00000,0.15000,0.72000
True,1.30986,0.00000,0.15000,0.72000
