file,time,progress,flash,strong
motion-0126.png,33.33352,323,0.00000,True
motion-0127.png,33.45776,323,0.00000,True
motion-0128.png,33.58286,323,0.00000,True
motion-0129.png,33.70673,323,0.00000,True
motion-0130.png,33.83009,323,0.00000,True
motion-0131.png,33.95350,323,0.00000,True
motion-0132.png,34.07748,323,0.00000,True
motion-0133.png,34.20120,323,0.00000,True
motion-0134.png,34.34198,323,0.00000,True
motion-0135.png,34.47327,323,0.00000,True
motion-0136.png,34.59756,323,0.00000,True
motion-0137.png,34.72246,323,0.00000,True
motion-0138.png,34.84886,323,0.00000,True
motion-0139.png,34.97401,323,0.00000,True
motion-0140.png,35.09742,323,0.00000,True
motion-0141.png,35.22753,323,0.00000,True
motion-0142.png,35.35248,323,0.00000,True
motion-0143.png,35.48400,323,0.00000,True
motion-0144.png,35.60661,323,0.00000,True
motion-0145.png,35.74165,323,0.00000,True
